id,sympy,natural_language
22,"Exists(v, And(Q(v), R(v)))",There exists v such that Q(v) and R(v).
23,"ForAll(y, Implies(V(y), Or(U(y), Q(y))))","For all y, if V(y) then U(y) or Q(y)."
24,"ForAll(v, Implies(Exists(z, M(v,z)), S(v)))","For all v, if there exists z with M(v,z) then S(v)."
25,"ForAll(u, Implies(U(u), R(u)))","For all u, if U(u) then R(u)."
26,"Exists(v, ForAll(x, Implies(L(v,x), U(x))))","There exists v such that for all x, if L(v,x) then U(x)."
27,"Exists(z, Exists(y, Exists(u, And(N(z,y), N(y,u)))))","There exist z, y, and u such that N(z,y) and N(y,u)."
28,"Exists(v, ForAll(w, Equivalent(U(v), O(v,w))))","There exists v such that for all w, U(v) iff O(v,w)."
29,"ForAll(x, Or(Not(U(x)), R(x)))","For all x, either not U(x) or R(x)."
30,"ForAll(w, Equivalent(U(w), U(w)))","For all w, U(w) if and only if U(w)."
31,"Exists(u, And(V(u), U(u)))",There exists u such that V(u) and U(u).
32,"ForAll(u, Implies(And(U(u), S(u)), Q(u)))","For all u, if U(u) and S(u) then Q(u)."
33,"Exists(v, Exists(x, Exists(y, And(O(v,x), O(x,y)))))","There exist v, x, and y such that O(v,x) and O(x,y)."
34,"ForAll(w, Or(P(w), Exists(u, Q(u))))","For all w, either P(w) or there exists u such that Q(u)."
35,"ForAll(v, ForAll(x, Implies(M(v,x), M(x,v))))","For all v and x, if M(v,x) then M(x,v)."
36,"Exists(z, Exists(y, And(L(z,y), S(z))))","There exist z and y such that L(z,y) and S(z)."
37,"ForAll(z, Implies(V(z), R(z)))","For all z, if V(z) then R(z)."
38,"ForAll(y, Exists(u, N(y,u)))","For all y, there exists u such that N(y,u)."
39,"Exists(z, Exists(u, Exists(x, And(O(z,u), O(u,x)))))","There exist z, u, and x such that O(z,u) and O(u,x)."
40,"ForAll(w, Implies(V(w), And(T(w), Q(w))))","For all w, if V(w) then T(w) and Q(w)."
41,"ForAll(v, Or(Q(v), Exists(z, Q(z))))","For all v, either Q(v) or there exists z such that Q(z)."
42,"ForAll(z, Implies(Exists(x, L(z,x)), T(z)))","For all z, if there exists x with L(z,x) then T(z)."
43,"ForAll(y, Implies(R(y), Exists(z, M(y,z))))","For all y, if R(y) then there exists z such that M(y,z)."
44,"Exists(x, Exists(v, And(L(x,v), P(x))))","There exist x and v such that L(x,v) and P(x)."
45,"Exists(u, Exists(z, And(O(u,z), S(u))))","There exist u and z such that O(u,z) and S(u)."
46,"Exists(z, And(Not(S(z)), Exists(u, O(z,u))))","There exists z such that not S(z) and there exists u with O(z,u)."
47,"Exists(x, Implies(U(x), ForAll(u, U(u))))","There exists x such that if U(x) then for all u, U(u)."
48,"ForAll(u, Implies(V(u), Or(P(u), Q(u))))","For all u, if V(u) then P(u) or Q(u)."
49,"Exists(u, And(S(u), T(u)))",There exists u such that S(u) and T(u).
50,"ForAll(u, Implies(S(u), And(P(u), R(u))))","For all u, if S(u) then P(u) and R(u)."
51,"ForAll(v, Implies(Q(v), Exists(y, L(v,y))))","For all v, if Q(v) then there exists y such that L(v,y)."
52,"ForAll(v, Implies(P(v), S(v)))","For all v, if P(v) then S(v)."
53,"Exists(w, Not(T(w)))",There exists w such that not T(w).
54,"ForAll(u, Implies(P(u), And(T(u), S(u))))","For all u, if P(u) then T(u) and S(u)."
55,"ForAll(u, Implies(U(u), Or(R(u), V(u))))","For all u, if U(u) then R(u) or V(u)."
56,"Exists(w, And(Not(P(w)), Exists(y, N(w,y))))","There exists w such that not P(w) and there exists y with N(w,y)."
57,"ForAll(x, Implies(Exists(w, M(x,w)), R(x)))","For all x, if there exists w with M(x,w) then R(x)."
58,"ForAll(v, Or(P(v), Exists(z, V(z))))","For all v, either P(v) or there exists z such that V(z)."
59,"ForAll(y, Or(Not(R(y)), P(y)))","For all y, either not R(y) or P(y)."
60,"ForAll(y, Implies(Exists(z, L(y,z)), T(y)))","For all y, if there exists z with L(y,z) then T(y)."
61,"ForAll(x, Implies(U(x), Or(S(x), V(x))))","For all x, if U(x) then S(x) or V(x)."
62,"Exists(v, Exists(w, And(O(v,w), V(v))))","There exist v and w such that O(v,w) and V(v)."
63,"ForAll(y, Implies(U(y), Or(Q(y), R(y))))","For all y, if U(y) then Q(y) or R(y)."
64,"ForAll(x, Implies(Exists(v, O(x,v)), R(x)))","For all x, if there exists v with O(x,v) then R(x)."
65,"ForAll(u, Or(U(u), Exists(x, Q(x))))","For all u, either U(u) or there exists x such that Q(x)."
66,"ForAll(x, Implies(Exists(y, L(x,y)), Q(x)))","For all x, if there exists y with L(x,y) then Q(x)."
67,"Exists(z, ForAll(v, Implies(O(z,v), T(v))))","There exists z such that for all v, if O(z,v) then T(v)."
68,"Exists(x, And(P(x), P(x)))",There exists x such that P(x) and P(x).
69,"ForAll(x, Implies(Exists(w, O(x,w)), S(x)))","For all x, if there exists w with O(x,w) then S(x)."
70,"ForAll(x, Exists(w, L(x,w)))","For all x, there exists w such that L(x,w)."
71,"Exists(y, Exists(v, And(L(y,v), U(y))))","There exist y and v such that L(y,v) and U(y)."
72,"ForAll(y, ForAll(x, Implies(M(y,x), M(x,y))))","For all y and x, if M(y,x) then M(x,y)."
73,"ForAll(z, Implies(P(z), And(S(z), R(z))))","For all z, if P(z) then S(z) and R(z)."
74,"ForAll(w, ForAll(v, Implies(O(w,v), O(v,w))))","For all w and v, if O(w,v) then O(v,w)."
75,"ForAll(z, ForAll(x, Implies(L(z,x), L(x,z))))","For all z and x, if L(z,x) then L(x,z)."
76,"ForAll(u, Exists(x, L(u,x)))","For all u, there exists x such that L(u,x)."
77,"ForAll(u, Implies(S(u), And(V(u), R(u))))","For all u, if S(u) then V(u) and R(u)."
78,"ForAll(z, Or(Not(R(z)), U(z)))","For all z, either not R(z) or U(z)."
79,"Exists(y, ForAll(x, Equivalent(V(y), M(y,x))))","There exists y such that for all x, V(y) iff M(y,x)."
80,"Exists(x, Not(U(x)))",There exists x such that not U(x).
81,"ForAll(v, Implies(Q(v), S(v)))","For all v, if Q(v) then S(v)."
82,"Exists(w, ForAll(z, Equivalent(P(w), N(w,z))))","There exists w such that for all z, P(w) iff N(w,z)."
83,"Exists(z, And(Not(Q(z)), Exists(u, L(z,u))))","There exists z such that not Q(z) and there exists u with L(z,u)."
84,"Exists(v, Exists(z, Exists(y, And(M(v,z), M(z,y)))))","There exist v, z, and y such that M(v,z) and M(z,y)."
85,"ForAll(v, Implies(Exists(y, N(v,y)), Q(v)))","For all v, if there exists y with N(v,y) then Q(v)."
86,"Exists(w, Implies(T(w), ForAll(x, P(x))))","There exists w such that if T(w) then for all x, P(x)."
87,"ForAll(y, Or(Not(T(y)), S(y)))","For all y, either not T(y) or S(y)."
88,"ForAll(u, Implies(P(u), Or(Q(u), S(u))))","For all u, if P(u) then Q(u) or S(u)."
89,"ForAll(x, ForAll(v, Implies(N(x,v), N(v,x))))","For all x and v, if N(x,v) then N(v,x)."
90,"ForAll(y, Implies(S(y), And(P(y), Q(y))))","For all y, if S(y) then P(y) and Q(y)."
91,"ForAll(x, Implies(V(x), Exists(w, O(x,w))))","For all x, if V(x) then there exists w such that O(x,w)."
92,"ForAll(u, Implies(And(Q(u), R(u)), S(u)))","For all u, if Q(u) and R(u) then S(u)."
93,"Exists(u, ForAll(x, Equivalent(V(u), L(u,x))))","There exists u such that for all x, V(u) iff L(u,x)."
94,"ForAll(v, Implies(Q(v), And(R(v), P(v))))","For all v, if Q(v) then R(v) and P(v)."
95,"Exists(v, Exists(y, Exists(w, And(L(v,y), L(y,w)))))","There exist v, y, and w such that L(v,y) and L(y,w)."
96,"Exists(y, And(Not(R(y)), Exists(w, L(y,w))))","There exists y such that not R(y) and there exists w with L(y,w)."
97,"ForAll(w, Implies(R(w), Exists(x, O(w,x))))","For all w, if R(w) then there exists x such that O(w,x)."
98,"ForAll(x, Implies(R(x), And(V(x), V(x))))","For all x, if R(x) then V(x) and V(x)."
99,"ForAll(x, Or(Not(R(x)), T(x)))","For all x, either not R(x) or T(x)."
100,"ForAll(y, ForAll(z, Implies(N(y,z), N(z,y))))","For all y and z, if N(y,z) then N(z,y)."
101,"ForAll(y, ForAll(w, Implies(O(y,w), O(w,y))))","For all y and w, if O(y,w) then O(w,y)."
102,"ForAll(z, Implies(T(z), Exists(v, M(z,v))))","For all z, if T(z) then there exists v such that M(z,v)."
103,"ForAll(w, Exists(x, M(w,x)))","For all w, there exists x such that M(w,x)."
104,"Exists(w, Exists(z, Exists(u, And(O(w,z), O(z,u)))))","There exist w, z, and u such that O(w,z) and O(z,u)."
105,"Exists(u, Not(S(u)))",There exists u such that not S(u).
106,"Exists(y, Exists(v, And(N(y,v), T(y))))","There exist y and v such that N(y,v) and T(y)."
107,"Exists(u, And(Not(U(u)), Exists(x, O(u,x))))","There exists u such that not U(u) and there exists x with O(u,x)."
108,"ForAll(z, Implies(T(z), P(z)))","For all z, if T(z) then P(z)."
109,"ForAll(y, Equivalent(Q(y), P(y)))","For all y, Q(y) if and only if P(y)."
110,"ForAll(u, Implies(Exists(y, O(u,y)), U(u)))","For all u, if there exists y with O(u,y) then U(u)."
111,"Exists(u, ForAll(y, Implies(O(u,y), Q(y))))","There exists u such that for all y, if O(u,y) then Q(y)."
112,"Exists(u, ForAll(v, Equivalent(S(u), M(u,v))))","There exists u such that for all v, S(u) iff M(u,v)."
113,"ForAll(z, Implies(And(Q(z), R(z)), T(z)))","For all z, if Q(z) and R(z) then T(z)."
114,"ForAll(z, ForAll(u, Implies(O(z,u), O(u,z))))","For all z and u, if O(z,u) then O(u,z)."
115,"ForAll(u, Implies(U(u), Or(S(u), Q(u))))","For all u, if U(u) then S(u) or Q(u)."
116,"ForAll(x, Implies(Q(x), Exists(y, N(x,y))))","For all x, if Q(x) then there exists y such that N(x,y)."
117,"ForAll(y, Implies(U(y), Q(y)))","For all y, if U(y) then Q(y)."
118,"Exists(y, Exists(v, Exists(z, And(L(y,v), L(v,z)))))","There exist y, v, and z such that L(y,v) and L(v,z)."
119,"ForAll(z, Implies(Exists(w, L(z,w)), R(z)))","For all z, if there exists w with L(z,w) then R(z)."
120,"Exists(z, Not(V(z)))",There exists z such that not V(z).
121,"Exists(z, Not(T(z)))",There exists z such that not T(z).
122,"Exists(z, And(Not(R(z)), Exists(y, L(z,y))))","There exists z such that not R(z) and there exists y with L(z,y)."
123,"ForAll(u, Implies(V(u), And(S(u), S(u))))","For all u, if V(u) then S(u) and S(u)."
124,"ForAll(x, Implies(Q(x), And(P(x), V(x))))","For all x, if Q(x) then P(x) and V(x)."
125,"Exists(y, Implies(V(y), ForAll(v, S(v))))","There exists y such that if V(y) then for all v, S(v)."
126,"Exists(y, And(Q(y), Q(y)))",There exists y such that Q(y) and Q(y).
127,"Exists(z, ForAll(v, Equivalent(T(z), M(z,v))))","There exists z such that for all v, T(z) iff M(z,v)."
128,"Exists(u, Exists(w, And(N(u,w), T(u))))","There exist u and w such that N(u,w) and T(u)."
129,"ForAll(x, Equivalent(Q(x), U(x)))","For all x, Q(x) if and only if U(x)."
130,"ForAll(x, Implies(Q(x), Exists(w, N(x,w))))","For all x, if Q(x) then there exists w such that N(x,w)."
131,"ForAll(w, Equivalent(T(w), R(w)))","For all w, T(w) if and only if R(w)."
132,"ForAll(z, Equivalent(T(z), Q(z)))","For all z, T(z) if and only if Q(z)."
133,"Exists(v, Exists(z, Exists(u, And(M(v,z), M(z,u)))))","There exist v, z, and u such that M(v,z) and M(z,u)."
134,"ForAll(y, Or(Q(y), Exists(z, V(z))))","For all y, either Q(y) or there exists z such that V(z)."
135,"ForAll(w, Implies(U(w), Or(Q(w), V(w))))","For all w, if U(w) then Q(w) or V(w)."
136,"ForAll(z, Or(U(z), Exists(w, S(w))))","For all z, either U(z) or there exists w such that S(w)."
137,"ForAll(v, ForAll(z, Implies(M(v,z), M(z,v))))","For all v and z, if M(v,z) then M(z,v)."
138,"Exists(w, Exists(y, Exists(v, And(N(w,y), N(y,v)))))","There exist w, y, and v such that N(w,y) and N(y,v)."
139,"ForAll(z, Or(Not(U(z)), Q(z)))","For all z, either not U(z) or Q(z)."
140,"Exists(u, Exists(x, And(M(u,x), P(u))))","There exist u and x such that M(u,x) and P(u)."
141,"ForAll(u, Implies(Exists(y, N(u,y)), U(u)))","For all u, if there exists y with N(u,y) then U(u)."
142,"ForAll(z, Implies(U(z), U(z)))","For all z, if U(z) then U(z)."
143,"ForAll(u, Implies(Q(u), P(u)))","For all u, if Q(u) then P(u)."
144,"ForAll(x, Implies(Exists(y, M(x,y)), S(x)))","For all x, if there exists y with M(x,y) then S(x)."
145,"ForAll(u, Implies(R(u), And(Q(u), U(u))))","For all u, if R(u) then Q(u) and U(u)."
146,"Exists(u, Implies(R(u), ForAll(x, T(x))))","There exists u such that if R(u) then for all x, T(x)."
147,"Exists(v, And(S(v), Q(v)))",There exists v such that S(v) and Q(v).
148,"ForAll(w, ForAll(y, Implies(M(w,y), M(y,w))))","For all w and y, if M(w,y) then M(y,w)."
149,"ForAll(x, Equivalent(U(x), P(x)))","For all x, U(x) if and only if P(x)."
150,"ForAll(w, Implies(R(w), And(R(w), V(w))))","For all w, if R(w) then R(w) and V(w)."
151,"ForAll(w, Implies(P(w), R(w)))","For all w, if P(w) then R(w)."
152,"ForAll(y, Implies(Q(y), And(U(y), V(y))))","For all y, if Q(y) then U(y) and V(y)."
153,"ForAll(z, Implies(Exists(v, N(z,v)), R(z)))","For all z, if there exists v with N(z,v) then R(z)."
154,"Exists(u, Exists(x, Exists(v, And(O(u,x), O(x,v)))))","There exist u, x, and v such that O(u,x) and O(x,v)."
155,"ForAll(u, Exists(z, L(u,z)))","For all u, there exists z such that L(u,z)."
156,"ForAll(w, Implies(U(w), Exists(v, N(w,v))))","For all w, if U(w) then there exists v such that N(w,v)."
157,"ForAll(z, Or(T(z), Exists(y, R(y))))","For all z, either T(z) or there exists y such that R(y)."
158,"ForAll(w, Implies(Q(w), Or(V(w), Q(w))))","For all w, if Q(w) then V(w) or Q(w)."
159,"ForAll(v, Implies(R(v), R(v)))","For all v, if R(v) then R(v)."
160,"ForAll(u, Implies(Exists(v, M(u,v)), P(u)))","For all u, if there exists v with M(u,v) then P(u)."
161,"ForAll(x, Implies(R(x), Or(P(x), U(x))))","For all x, if R(x) then P(x) or U(x)."
162,"ForAll(w, Implies(P(w), Exists(v, N(w,v))))","For all w, if P(w) then there exists v such that N(w,v)."
163,"ForAll(v, Implies(And(U(v), Q(v)), U(v)))","For all v, if U(v) and Q(v) then U(v)."
164,"ForAll(w, ForAll(v, Implies(N(w,v), N(v,w))))","For all w and v, if N(w,v) then N(v,w)."
165,"Exists(x, Exists(v, And(N(x,v), R(x))))","There exist x and v such that N(x,v) and R(x)."
166,"ForAll(y, Implies(Exists(v, M(y,v)), P(y)))","For all y, if there exists v with M(y,v) then P(y)."
167,"ForAll(u, Implies(P(u), Or(T(u), S(u))))","For all u, if P(u) then T(u) or S(u)."
168,"ForAll(z, Implies(U(z), Q(z)))","For all z, if U(z) then Q(z)."
169,"Exists(x, And(Not(R(x)), Exists(z, O(x,z))))","There exists x such that not R(x) and there exists z with O(x,z)."
170,"ForAll(v, Or(Not(U(v)), U(v)))","For all v, either not U(v) or U(v)."
171,"Exists(y, Not(S(y)))",There exists y such that not S(y).
172,"ForAll(u, Implies(P(u), Exists(z, O(u,z))))","For all u, if P(u) then there exists z such that O(u,z)."
173,"ForAll(z, Implies(S(z), S(z)))","For all z, if S(z) then S(z)."
174,"Exists(v, And(V(v), T(v)))",There exists v such that V(v) and T(v).
175,"ForAll(x, Implies(Exists(v, L(x,v)), Q(x)))","For all x, if there exists v with L(x,v) then Q(x)."
176,"ForAll(z, Implies(P(z), Or(Q(z), U(z))))","For all z, if P(z) then Q(z) or U(z)."
177,"Exists(u, Exists(x, Exists(v, And(N(u,x), N(x,v)))))","There exist u, x, and v such that N(u,x) and N(x,v)."
178,"ForAll(y, Or(U(y), Exists(u, Q(u))))","For all y, either U(y) or there exists u such that Q(u)."
179,"ForAll(z, Or(Q(z), Exists(w, Q(w))))","For all z, either Q(z) or there exists w such that Q(w)."
180,"Exists(w, And(V(w), T(w)))",There exists w such that V(w) and T(w).
181,"ForAll(z, Implies(And(P(z), Q(z)), T(z)))","For all z, if P(z) and Q(z) then T(z)."
182,"Exists(u, ForAll(w, Implies(M(u,w), P(w))))","There exists u such that for all w, if M(u,w) then P(w)."
183,"ForAll(x, ForAll(u, Implies(O(x,u), O(u,x))))","For all x and u, if O(x,u) then O(u,x)."
184,"ForAll(u, Equivalent(U(u), R(u)))","For all u, U(u) if and only if R(u)."
185,"Exists(v, And(Not(V(v)), Exists(x, L(v,x))))","There exists v such that not V(v) and there exists x with L(v,x)."
186,"ForAll(x, Or(Not(T(x)), S(x)))","For all x, either not T(x) or S(x)."
187,"ForAll(z, ForAll(x, Implies(M(z,x), M(x,z))))","For all z and x, if M(z,x) then M(x,z)."
188,"ForAll(z, Implies(P(z), S(z)))","For all z, if P(z) then S(z)."
189,"Exists(u, Exists(x, And(O(u,x), R(u))))","There exist u and x such that O(u,x) and R(u)."
190,"Exists(u, And(U(u), R(u)))",There exists u such that U(u) and R(u).
191,"Exists(y, Implies(V(y), ForAll(x, R(x))))","There exists y such that if V(y) then for all x, R(x)."
192,"ForAll(z, Or(Not(P(z)), R(z)))","For all z, either not P(z) or R(z)."
193,"ForAll(v, Or(S(v), Exists(x, V(x))))","For all v, either S(v) or there exists x such that V(x)."
194,"Exists(x, And(Not(V(x)), Exists(y, N(x,y))))","There exists x such that not V(x) and there exists y with N(x,y)."
195,"ForAll(w, Implies(V(w), V(w)))","For all w, if V(w) then V(w)."
196,"Exists(x, ForAll(v, Equivalent(Q(x), N(x,v))))","There exists x such that for all v, Q(x) iff N(x,v)."
197,"Exists(x, And(Q(x), T(x)))",There exists x such that Q(x) and T(x).
198,"ForAll(y, Implies(And(T(y), P(y)), R(y)))","For all y, if T(y) and P(y) then R(y)."
199,"ForAll(x, Or(U(x), Exists(z, R(z))))","For all x, either U(x) or there exists z such that R(z)."
200,"ForAll(z, Equivalent(S(z), S(z)))","For all z, S(z) if and only if S(z)."
201,"ForAll(v, Or(T(v), Exists(x, P(x))))","For all v, either T(v) or there exists x such that P(x)."
202,"ForAll(y, Implies(And(V(y), T(y)), R(y)))","For all y, if V(y) and T(y) then R(y)."
203,"Exists(x, And(V(x), Q(x)))",There exists x such that V(x) and Q(x).
204,"ForAll(u, Implies(U(u), Q(u)))","For all u, if U(u) then Q(u)."
205,"ForAll(y, ForAll(w, Implies(N(y,w), N(w,y))))","For all y and w, if N(y,w) then N(w,y)."
206,"ForAll(u, Exists(v, O(u,v)))","For all u, there exists v such that O(u,v)."
207,"ForAll(w, Equivalent(T(w), P(w)))","For all w, T(w) if and only if P(w)."
208,"ForAll(v, Implies(T(v), Exists(z, O(v,z))))","For all v, if T(v) then there exists z such that O(v,z)."
209,"ForAll(z, Equivalent(V(z), V(z)))","For all z, V(z) if and only if V(z)."
210,"Exists(x, Exists(z, Exists(w, And(O(x,z), O(z,w)))))","There exist x, z, and w such that O(x,z) and O(z,w)."
211,"Exists(x, Implies(Q(x), ForAll(v, Q(v))))","There exists x such that if Q(x) then for all v, Q(v)."
212,"Exists(y, Implies(V(y), ForAll(w, T(w))))","There exists y such that if V(y) then for all w, T(w)."
213,"Exists(y, ForAll(u, Equivalent(U(y), L(y,u))))","There exists y such that for all u, U(y) iff L(y,u)."
214,"Exists(z, Not(R(z)))",There exists z such that not R(z).
215,"Exists(v, Exists(u, And(O(v,u), U(v))))","There exist v and u such that O(v,u) and U(v)."
216,"Exists(z, Not(P(z)))",There exists z such that not P(z).
217,"ForAll(u, Implies(S(u), P(u)))","For all u, if S(u) then P(u)."
218,"Exists(v, Implies(Q(v), ForAll(w, Q(w))))","There exists v such that if Q(v) then for all w, Q(w)."
219,"ForAll(x, Equivalent(V(x), S(x)))","For all x, V(x) if and only if S(x)."
220,"ForAll(w, Implies(Exists(x, M(w,x)), V(w)))","For all w, if there exists x with M(w,x) then V(w)."
221,"ForAll(w, Implies(Exists(v, O(w,v)), U(w)))","For all w, if there exists v with O(w,v) then U(w)."
222,"Exists(z, Exists(y, Exists(w, And(N(z,y), N(y,w)))))","There exist z, y, and w such that N(z,y) and N(y,w)."
223,"Exists(u, Implies(Q(u), ForAll(x, P(x))))","There exists u such that if Q(u) then for all x, P(x)."
224,"Exists(v, Not(R(v)))",There exists v such that not R(v).
225,"ForAll(x, Or(P(x), Exists(y, R(y))))","For all x, either P(x) or there exists y such that R(y)."
226,"ForAll(x, Implies(Exists(v, O(x,v)), U(x)))","For all x, if there exists v with O(x,v) then U(x)."
227,"ForAll(y, Equivalent(V(y), V(y)))","For all y, V(y) if and only if V(y)."
228,"ForAll(w, Implies(T(w), U(w)))","For all w, if T(w) then U(w)."
229,"ForAll(z, Or(S(z), Exists(x, Q(x))))","For all z, either S(z) or there exists x such that Q(x)."
230,"ForAll(x, Or(R(x), Exists(w, Q(w))))","For all x, either R(x) or there exists w such that Q(w)."
231,"Exists(u, And(R(u), V(u)))",There exists u such that R(u) and V(u).
232,"Exists(w, Exists(u, Exists(v, And(N(w,u), N(u,v)))))","There exist w, u, and v such that N(w,u) and N(u,v)."
233,"ForAll(z, Implies(And(S(z), P(z)), P(z)))","For all z, if S(z) and P(z) then P(z)."
234,"ForAll(v, Or(R(v), Exists(u, S(u))))","For all v, either R(v) or there exists u such that S(u)."
235,"Exists(y, Exists(u, And(L(y,u), Q(y))))","There exist y and u such that L(y,u) and Q(y)."
236,"Exists(v, ForAll(w, Implies(O(v,w), P(w))))","There exists v such that for all w, if O(v,w) then P(w)."
237,"Exists(w, Exists(v, Exists(u, And(O(w,v), O(v,u)))))","There exist w, v, and u such that O(w,v) and O(v,u)."
238,"Exists(z, Exists(u, Exists(x, And(M(z,u), M(u,x)))))","There exist z, u, and x such that M(z,u) and M(u,x)."
239,"Exists(z, And(Not(P(z)), Exists(u, N(z,u))))","There exists z such that not P(z) and there exists u with N(z,u)."
240,"ForAll(x, Or(Not(Q(x)), U(x)))","For all x, either not Q(x) or U(x)."
241,"Exists(y, ForAll(u, Implies(N(y,u), U(u))))","There exists y such that for all u, if N(y,u) then U(u)."
242,"Exists(u, Exists(w, And(O(u,w), V(u))))","There exist u and w such that O(u,w) and V(u)."
243,"Exists(v, ForAll(u, Equivalent(U(v), N(v,u))))","There exists v such that for all u, U(v) iff N(v,u)."
244,"Exists(z, Implies(V(z), ForAll(u, V(u))))","There exists z such that if V(z) then for all u, V(u)."
245,"ForAll(u, Exists(z, M(u,z)))","For all u, there exists z such that M(u,z)."
246,"ForAll(z, Implies(And(P(z), S(z)), U(z)))","For all z, if P(z) and S(z) then U(z)."
247,"ForAll(v, Implies(U(v), And(S(v), T(v))))","For all v, if U(v) then S(v) and T(v)."
248,"Exists(y, And(Not(P(y)), Exists(u, O(y,u))))","There exists y such that not P(y) and there exists u with O(y,u)."
249,"ForAll(u, Equivalent(S(u), P(u)))","For all u, S(u) if and only if P(u)."
250,"ForAll(y, Implies(Exists(x, L(y,x)), U(y)))","For all y, if there exists x with L(y,x) then U(y)."
251,"ForAll(x, Equivalent(T(x), P(x)))","For all x, T(x) if and only if P(x)."
252,"Exists(x, Not(V(x)))",There exists x such that not V(x).
253,"ForAll(v, Or(Not(Q(v)), S(v)))","For all v, either not Q(v) or S(v)."
254,"ForAll(u, Implies(V(u), P(u)))","For all u, if V(u) then P(u)."
255,"Exists(v, ForAll(w, Implies(L(v,w), R(w))))","There exists v such that for all w, if L(v,w) then R(w)."
256,"ForAll(x, Implies(S(x), Exists(z, N(x,z))))","For all x, if S(x) then there exists z such that N(x,z)."
257,"Exists(u, Not(T(u)))",There exists u such that not T(u).
258,"ForAll(v, Exists(u, N(v,u)))","For all v, there exists u such that N(v,u)."
259,"Exists(u, ForAll(z, Implies(N(u,z), P(z))))","There exists u such that for all z, if N(u,z) then P(z)."
260,"ForAll(u, Equivalent(S(u), V(u)))","For all u, S(u) if and only if V(u)."
261,"ForAll(w, Implies(V(w), And(V(w), S(w))))","For all w, if V(w) then V(w) and S(w)."
262,"Exists(y, Implies(S(y), ForAll(u, Q(u))))","There exists y such that if S(y) then for all u, Q(u)."
263,"Exists(z, Exists(v, And(L(z,v), V(z))))","There exist z and v such that L(z,v) and V(z)."
264,"ForAll(v, Implies(Exists(y, O(v,y)), U(v)))","For all v, if there exists y with O(v,y) then U(v)."
265,"Exists(y, And(Not(P(y)), Exists(z, N(y,z))))","There exists y such that not P(y) and there exists z with N(y,z)."
266,"ForAll(y, ForAll(u, Implies(O(y,u), O(u,y))))","For all y and u, if O(y,u) then O(u,y)."
267,"Exists(w, ForAll(v, Implies(O(w,v), U(v))))","There exists w such that for all v, if O(w,v) then U(v)."
268,"Exists(y, And(T(y), U(y)))",There exists y such that T(y) and U(y).
269,"Exists(x, And(S(x), V(x)))",There exists x such that S(x) and V(x).
270,"ForAll(v, Exists(u, M(v,u)))","For all v, there exists u such that M(v,u)."
271,"ForAll(z, Implies(And(U(z), S(z)), S(z)))","For all z, if U(z) and S(z) then S(z)."
272,"ForAll(u, Implies(Exists(x, M(u,x)), V(u)))","For all u, if there exists x with M(u,x) then V(u)."
273,"ForAll(u, Or(R(u), Exists(w, U(w))))","For all u, either R(u) or there exists w such that U(w)."
274,"ForAll(y, Or(T(y), Exists(x, T(x))))","For all y, either T(y) or there exists x such that T(x)."
275,"Exists(y, Exists(x, Exists(u, And(N(y,x), N(x,u)))))","There exist y, x, and u such that N(y,x) and N(x,u)."
