expression,english_description
Mortal(f(x)),F(x) is mortal
∃y ∃u (Animal(u) ∧ Animal(v)),"There exists y, There exists u such that u is an animal and v is an animal"
∃v (Professor(v) ∧ ∀y Student(1)),"There exists v such that v is a professor and For every y, 1 is a student"
Odd(u),U is odd
"Less(g(b),x)",G(b) is less than x
"¬∃w (Professor(w) ∧ Friend(g(x),f(h(v))))",It is not the case that There exists w such that w is a professor and g(x) is a friend of f(h(v))
Human(w),W is a human
"(Likes(1,y) ∧ v = w)",1 likes y and v equals w
"(((f(z) = x ∧ Animal(2)) ∧ ∀z (Dog(z) → Friend(h(w),y))) → ∀x (Human(x) → ∃z Member(x,f(f(z)))))","If f(z) equals x and 2 is an animal and For every z, if z is a dog, then h(w) is a friend of y, then For every x, if x is a human, then There exists z, x is a member of f(f(z))"
"(∃z (Loves(a,y) → Student(z)) → ((g(u) = x ∨ c = 2) ↔ ¬Likes(y,g(f(w)))))","If There exists z, if a loves y, then z is a student, then g(u) equals x or c equals 2 if and only if It is not the case that y likes g(f(w))"
"∃v (Dog(v) ∧ (0 = 1 ∧ ParentOf(g(u),y)))",There exists v such that v is a dog and 0 equals 1 and g(u) is a parent of y
"Less(2,v)",2 is less than v
Professor(h(f(z))),H(f(z)) is a professor
"((¬Subset(0,f(x)) ∨ ∀z (Odd(z) → Professor(x))) → ParentOf(v,f(1)))","If It is not the case that 0 is a subset of f(x) or For every z, if z is odd, then x is a professor, then v is a parent of f(1)"
"Member(1,f(1))",1 is a member of f(1)
"(Likes(w,2) ↔ (∀z (Human(z) → Even(v)) ∨ Less(f(v),c)))","W likes 2 if and only if For every z, if z is a human, then v is even or f(v) is less than c"
Human(u),U is a human
"(∃z ¬Subset(z,x) → ∃y (Human(y) ∧ Subset(x,g(z))))","If There exists z, It is not the case that z is a subset of x, then There exists y such that y is a human and x is a subset of g(z)"
c = a,C equals a
"(∀v Dog(c) ↔ Likes(w,u))","For every v, c is a dog if and only if w likes u"
Mortal(u),U is mortal
"∃z (Odd(z) ∧ ((Student(h(h(v))) ∨ Knows(2,u)) ↔ ∀u (Animal(u) → f(u) = w)))","There exists z such that z is odd and h(h(v)) is a student or 2 knows u if and only if For every u, if u is an animal, then f(u) equals w"
"∀x ((Subset(g(w),h(w)) ∨ Animal(z)) → ∃z Even(w))","For every x, if g(w) is a subset of h(w) or z is an animal, then There exists z, w is even"
"((Human(w) → Subset(v,v)) ∧ ParentOf(v,y))","If w is a human, then v is a subset of v and v is a parent of y"
Professor(v),V is a professor
"¬∀u (Animal(u) → (Student(b) ↔ Likes(f(y),f(u))))","It is not the case that For every u, if u is an animal, then b is a student if and only if f(y) likes f(u)"
∃z Dog(w),"There exists z, w is a dog"
"¬((Friend(z,h(y)) ↔ Equal(h(x),y)) → Animal(z))","It is not the case that if z is a friend of h(y) if and only if h(x) is equal to y, then z is an animal"
Dog(a),A is a dog
"(Greater(2,g(y)) ∧ ((Member(f(w),f(v)) ∨ Mortal(v)) ↔ ¬Loves(2,a)))",2 is greater than g(y) and f(w) is a member of f(v) or v is mortal if and only if It is not the case that 2 loves a
"(¬∀w (Cat(w) → Knows(u,x)) ↔ ¬¬Equal(u,u))","It is not the case that For every w, if w is a cat, then u knows x if and only if It is not the case that It is not the case that u is equal to u"
"Friend(c,v)",C is a friend of v
¬∀x ∀u (Animal(u) → Cat(w)),"It is not the case that For every x, For every u, if u is an animal, then w is a cat"
"(∃x (Student(x) ∧ 2 = f(u)) → Likes(z,w))","If There exists x such that x is a student and 2 equals f(u), then z likes w"
"∃z (Professor(z) ∧ ((Friend(0,a) ∨ Equal(g(u),u)) ↔ (Professor(f(u)) ∧ Animal(z))))",There exists z such that z is a professor and 0 is a friend of a or g(u) is equal to u if and only if f(u) is a professor and z is an animal
Cat(v),V is a cat
∀y ∀y (Dog(y) → Animal(f(u))),"For every y, For every y, if y is a dog, then f(u) is an animal"
¬Dog(z),It is not the case that z is a dog
(Dog(g(y)) → ¬(Animal(u) → Odd(2))),"If g(y) is a dog, then It is not the case that if u is an animal, then 2 is odd"
(∀u (Dog(u) → Odd(f(x))) → (¬Odd(x) → ∀v Odd(a))),"If For every u, if u is a dog, then f(x) is odd, then if It is not the case that x is odd, then For every v, a is odd"
"Friend(x,b)",X is a friend of b
"Greater(f(v),w)",F(v) is greater than w
"Likes(u,u)",U likes u
u = h(v),U equals h(v)
"∀v Knows(x,h(v))","For every v, x knows h(v)"
∀z (Animal(z) → ∀w Student(c)),"For every z, if z is an animal, then For every w, c is a student"
"∃z ((Subset(z,0) ∧ Equal(v,y)) ∧ Friend(c,x))","There exists z, z is a subset of 0 and v is equal to y and c is a friend of x"
"∃x (Professor(x) ∧ (¬1 = c ∨ ¬Member(f(y),b)))",There exists x such that x is a professor and It is not the case that 1 equals c or It is not the case that f(y) is a member of b
Prime(z),Z is prime
"¬Knows(0,z)",It is not the case that 0 knows z
"Equal(g(u),h(y))",G(u) is equal to h(y)
"Subset(u,g(w))",U is a subset of g(w)
"(Equal(v,v) ∧ Even(f(z)))",V is equal to v and f(z) is even
∀u Professor(0),"For every u, 0 is a professor"
"((∃u (Dog(u) ∧ Knows(a,y)) → Equal(g(u),x)) ∨ Knows(z,w))","If There exists u such that u is a dog and a knows y, then g(u) is equal to x or z knows w"
u = f(f(y)),U equals f(f(y))
"(Student(w) ↔ Friend(h(y),u))",W is a student if and only if h(y) is a friend of u
Prime(w),W is prime
"¬(¬Loves(1,z) → 0 = 2)","It is not the case that if It is not the case that 1 loves z, then 0 equals 2"
"(((Greater(h(x),x) ↔ Member(v,u)) → Friend(0,y)) ↔ (∃u (Prime(u) ∧ Subset(u,u)) ∨ ParentOf(z,z)))","If h(x) is greater than x if and only if v is a member of u, then 0 is a friend of y if and only if There exists u such that u is prime and u is a subset of u or z is a parent of z"
∃u (Student(u) ∧ (∀v 1 = u ∨ ∀y (Human(y) → Student(x)))),"There exists u such that u is a student and For every v, 1 equals u or For every y, if y is a human, then x is a student"
"((∃x (Odd(x) ∧ Less(g(v),h(y))) ↔ ∃w (Professor(w) ∧ ParentOf(h(w),u))) ↔ Equal(c,c))",There exists x such that x is odd and g(v) is less than h(y) if and only if There exists w such that w is a professor and h(w) is a parent of u if and only if c is equal to c
"(Subset(2,x) ∨ (∃u (Cat(u) ∧ Knows(g(x),w)) ∨ Even(u)))",2 is a subset of x or There exists u such that u is a cat and g(x) knows w or u is even
"(∀x Friend(w,w) ↔ ¬Mortal(w))","For every x, w is a friend of w if and only if It is not the case that w is mortal"
"Equal(0,u)",0 is equal to u
Dog(f(f(w))),F(f(w)) is a dog
Professor(w),W is a professor
"Knows(b,x)",B knows x
c = g(y),C equals g(y)
1 = c,1 equals c
∀w Prime(x),"For every w, x is prime"
¬(∀z h(v) = 0 ↔ x = g(w)),"It is not the case that For every z, h(v) equals 0 if and only if x equals g(w)"
((y = f(u) ↔ ∀w 2 = f(u)) ∨ ¬∃y (Professor(y) ∧ Dog(2))),"Y equals f(u) if and only if For every w, 2 equals f(u) or It is not the case that There exists y such that y is a professor and 2 is a dog"
∃z Prime(x),"There exists z, x is prime"
(Even(f(x)) ∨ ∀x (Odd(x) → Human(u))),"F(x) is even or For every x, if x is odd, then u is a human"
"∃v ∀y (Prime(y) → (Loves(a,v) ↔ Loves(g(z),v)))","There exists v, For every y, if y is prime, then a loves v if and only if g(z) loves v"
Mortal(z),Z is mortal
(¬∃y (Prime(y) ∧ 2 = f(x)) ∨ ∀x (Animal(x) → ∀y h(z) = w)),"It is not the case that There exists y such that y is prime and 2 equals f(x) or For every x, if x is an animal, then For every y, h(z) equals w"
"(¬¬Equal(2,u) ∨ v = x)",It is not the case that It is not the case that 2 is equal to u or v equals x
"(Subset(z,f(2)) ∨ ¬(z = x ↔ Professor(u)))",Z is a subset of f(2) or It is not the case that z equals x if and only if u is a professor
f(f(g(w))) = v,F(f(g(w))) equals v
Student(w),W is a student
¬∃z (Even(z) ∧ Prime(u)),It is not the case that There exists z such that z is even and u is prime
Cat(y),Y is a cat
"¬(∃y Equal(g(u),v) → ¬Cat(u))","It is not the case that if There exists y, g(u) is equal to v, then It is not the case that u is a cat"
"∀y (Animal(y) → Likes(f(u),y))","For every y, if y is an animal, then f(u) likes y"
"Less(f(z),h(g(y)))",F(z) is less than h(g(y))
"¬Likes(v,y)",It is not the case that v likes y
"Less(y,b)",Y is less than b
∀z ∃u (Dog(u) ∧ u = g(y)),"For every z, There exists u such that u is a dog and u equals g(y)"
"∃u (Cat(u) ∧ Knows(v,v))",There exists u such that u is a cat and v knows v
∀y Student(z),"For every y, z is a student"
"∃w (Less(x,a) ∨ ∀y Odd(u))","There exists w, x is less than a or For every y, u is odd"
Dog(x),X is a dog
Student(a),A is a student
"Likes(w,u)",W likes u
y = v,Y equals v
∃z v = f(x),"There exists z, v equals f(x)"
"(¬Subset(g(u),w) ↔ Dog(g(u)))",It is not the case that g(u) is a subset of w if and only if g(u) is a dog
"Friend(h(1),v)",H(1) is a friend of v
v = v,V equals v
"∀v ¬∀v (Odd(v) → Knows(u,y))","For every v, It is not the case that For every v, if v is odd, then u knows y"
"Equal(w,v)",W is equal to v
"Loves(v,z)",V loves z
"(¬(Professor(v) ↔ Loves(h(z),g(z))) ↔ (¬Equal(z,a) ∨ ∀z (Cat(z) → Loves(f(g(z)),u))))","It is not the case that v is a professor if and only if h(z) loves g(z) if and only if It is not the case that z is equal to a or For every z, if z is a cat, then f(g(z)) loves u"
"Member(f(y),w)",F(y) is a member of w
"¬∀x (Animal(x) → ¬ParentOf(u,2))","It is not the case that For every x, if x is an animal, then It is not the case that u is a parent of 2"
¬((Cat(2) ∨ x = v) → (Prime(2) ↔ h(f(g(w))) = 0)),"It is not the case that if 2 is a cat or x equals v, then 2 is prime if and only if h(f(g(w))) equals 0"
"¬Knows(v,g(v))",It is not the case that v knows g(v)
(h(w) = 2 ∨ f(v) = z),H(w) equals 2 or f(v) equals z
∃z (Prime(z) ∧ ∃v ¬Odd(0)),"There exists z such that z is prime and There exists v, It is not the case that 0 is odd"
∃v (Student(v) ∧ ∃w ¬Student(y)),"There exists v such that v is a student and There exists w, It is not the case that y is a student"
"(Subset(w,1) ∨ Equal(0,y))",W is a subset of 1 or 0 is equal to y
"(∃u (Professor(u) ∧ (Human(z) ↔ Knows(g(x),u))) ∨ (Likes(h(2),b) ↔ (v = x → Cat(v))))","There exists u such that u is a professor and z is a human if and only if g(x) knows u or h(2) likes b if and only if if v equals x, then v is a cat"
Animal(u),U is an animal
"ParentOf(1,a)",1 is a parent of a
"∀x (Cat(x) → (¬f(u) = x → (Likes(w,v) ∧ Friend(x,1))))","For every x, if x is a cat, then if It is not the case that f(u) equals x, then w likes v and x is a friend of 1"
"(∀v (ParentOf(0,x) ∧ x = h(x)) → (∀z (Student(z) → Greater(w,w)) → Professor(b)))","If For every v, 0 is a parent of x and x equals h(x), then if For every z, if z is a student, then w is greater than w, then b is a professor"
∃z Prime(u),"There exists z, u is prime"
"∃u ∃x (Human(x) ∧ ∀x (Mortal(x) → Subset(u,h(2))))","There exists u, There exists x such that x is a human and For every x, if x is mortal, then u is a subset of h(2)"
Cat(a),A is a cat
"∀w (Mortal(w) → Member(2,0))","For every w, if w is mortal, then 2 is a member of 0"
"∃w (Odd(w) ∧ (Subset(f(y),z) ↔ Equal(f(v),u)))",There exists w such that w is odd and f(y) is a subset of z if and only if f(v) is equal to u
"Loves(x,a)",X loves a
"∃v ((ParentOf(g(v),2) → Loves(w,z)) ∧ ∃z (Dog(z) ∧ Professor(w)))","There exists v, if g(v) is a parent of 2, then w loves z and There exists z such that z is a dog and w is a professor"
¬(∃w (Prime(w) ∧ 2 = 0) ∨ ∀y 1 = h(v)),"It is not the case that There exists w such that w is prime and 2 equals 0 or For every y, 1 equals h(v)"
"¬((ParentOf(z,g(y)) ∨ Member(w,c)) ∨ Dog(f(w)))",It is not the case that z is a parent of g(y) or w is a member of c or f(w) is a dog
"∃z (∀w (Odd(w) → Likes(a,x)) ∧ Cat(b))","There exists z, For every w, if w is odd, then a likes x and b is a cat"
Even(w),W is even
"∀w (∃w Dog(f(v)) ∨ ∀w Knows(w,g(w)))","For every w, There exists w, f(v) is a dog or For every w, w knows g(w)"
¬Professor(c),It is not the case that c is a professor
"Likes(z,2)",Z likes 2
"∀u ¬(Member(v,a) ↔ Less(z,v))","For every u, It is not the case that v is a member of a if and only if z is less than v"
Mortal(f(w)),F(w) is mortal
"(¬Odd(g(v)) ∨ ¬¬Friend(h(w),w))",It is not the case that g(v) is odd or It is not the case that It is not the case that h(w) is a friend of w
"(Equal(a,b) ∧ Student(z))",A is equal to b and z is a student
"¬Equal(u,1)",It is not the case that u is equal to 1
Mortal(x),X is mortal
"(Greater(g(f(v)),w) ↔ ∀v (Professor(v) → Less(f(v),x)))","G(f(v)) is greater than w if and only if For every v, if v is a professor, then f(v) is less than x"
"∀z (Dog(z) → Friend(y,c))","For every z, if z is a dog, then y is a friend of c"
"Likes(h(v),w)",H(v) likes w
0 = g(a),0 equals g(a)
u = v,U equals v
∀y (Dog(y) → ∃y (Animal(y) ∧ ∃w (Dog(w) ∧ 0 = z))),"For every y, if y is a dog, then There exists y such that y is an animal and There exists w such that w is a dog and 0 equals z"
"Friend(f(f(x)),h(0))",F(f(x)) is a friend of h(0)
"¬Member(y,y)",It is not the case that y is a member of y
"(¬¬Animal(h(v)) → Knows(b,0))","If It is not the case that It is not the case that h(v) is an animal, then b knows 0"
Cat(x),X is a cat
"((∀x Member(c,g(v)) ∨ (Loves(0,f(z)) ↔ Even(f(y)))) ∧ Professor(z))","For every x, c is a member of g(v) or 0 loves f(z) if and only if f(y) is even and z is a professor"
"(0 = y ∧ (b = a → ¬Member(h(w),w)))","0 equals y and if b equals a, then It is not the case that h(w) is a member of w"
Even(u),U is even
∀y ¬∃v (Animal(v) ∧ Human(v)),"For every y, It is not the case that There exists v such that v is an animal and v is a human"
"¬((Professor(h(w)) → Less(h(y),g(u))) ∧ ∀w (Prime(w) → y = f(g(w))))","It is not the case that if h(w) is a professor, then h(y) is less than g(u) and For every w, if w is prime, then y equals f(g(w))"
"(Student(w) ↔ ((Equal(g(v),z) ↔ Cat(2)) ∨ ∀w (Animal(w) → Friend(v,z))))","W is a student if and only if g(v) is equal to z if and only if 2 is a cat or For every w, if w is an animal, then v is a friend of z"
¬g(z) = x,It is not the case that g(z) equals x
"∃u ∃v (Professor(v) ∧ (Member(x,h(y)) → Less(x,f(u))))","There exists u, There exists v such that v is a professor and if x is a member of h(y), then x is less than f(u)"
"(¬Knows(z,y) ∧ (Member(z,x) ↔ ∀v Equal(b,g(v))))","It is not the case that z knows y and z is a member of x if and only if For every v, b is equal to g(v)"
"ParentOf(b,g(v))",B is a parent of g(v)
∀z (Student(z) → ∃z (Professor(z) ∧ (Animal(y) ∨ Cat(y)))),"For every z, if z is a student, then There exists z such that z is a professor and y is an animal or y is a cat"
¬Human(h(u)),It is not the case that h(u) is a human
"(∃v ∃v (Animal(v) ∧ Odd(g(x))) ∨ ∃u (Animal(x) → Greater(z,u)))","There exists v, There exists v such that v is an animal and g(x) is odd or There exists u, if x is an animal, then z is greater than u"
"¬((Mortal(a) ∨ Member(u,w)) ↔ ¬Odd(c))",It is not the case that a is mortal or u is a member of w if and only if It is not the case that c is odd
"Equal(y,z)",Y is equal to z
"(((Human(z) → ParentOf(2,b)) ∨ ∀u Mortal(w)) ↔ ∃u ∃x (Dog(x) ∧ Cat(1)))","If z is a human, then 2 is a parent of b or For every u, w is mortal if and only if There exists u, There exists x such that x is a dog and 1 is a cat"
"∃w (Even(w) ∧ ¬Loves(u,x))",There exists w such that w is even and It is not the case that u loves x
"¬∀x (Mortal(x) → Greater(w,w))","It is not the case that For every x, if x is mortal, then w is greater than w"
Dog(g(u)),G(u) is a dog
"(Member(v,w) ↔ ((Odd(x) ∧ Cat(x)) ↔ ∃y (Even(y) ∧ Subset(g(g(x)),b))))",V is a member of w if and only if x is odd and x is a cat if and only if There exists y such that y is even and g(g(x)) is a subset of b
"Equal(x,y)",X is equal to y
∃v (∃u (Student(u) ∧ Even(c)) → v = x),"There exists v, if There exists u such that u is a student and c is even, then v equals x"
Student(u),U is a student
"Subset(g(x),y)",G(x) is a subset of y
Even(z),Z is even
"∀x (¬Student(b) → ∀z Member(c,z))","For every x, if It is not the case that b is a student, then For every z, c is a member of z"
¬Professor(h(f(v))),It is not the case that h(f(v)) is a professor
"((Mortal(w) → Odd(f(z))) ∧ (Professor(x) ↔ (ParentOf(1,w) → Knows(h(0),z))))","If w is mortal, then f(z) is odd and x is a professor if and only if if 1 is a parent of w, then h(0) knows z"
"(∃v ¬Member(f(u),f(z)) ∨ ¬¬Human(u))","There exists v, It is not the case that f(u) is a member of f(z) or It is not the case that It is not the case that u is a human"
"Subset(2,a)",2 is a subset of a
"(Even(f(w)) → Equal(h(1),x))","If f(w) is even, then h(1) is equal to x"
"Loves(1,y)",1 loves y
"¬¬(c = 2 ↔ Friend(h(z),1))",It is not the case that It is not the case that c equals 2 if and only if h(z) is a friend of 1
"∃v Equal(g(v),0)","There exists v, g(v) is equal to 0"
"(¬Professor(g(f(x))) → ∀z (Even(y) ∨ ParentOf(z,u)))","If It is not the case that g(f(x)) is a professor, then For every z, y is even or z is a parent of u"
¬∃v Mortal(x),"It is not the case that There exists v, x is mortal"
Student(f(v)),F(v) is a student
(¬(Animal(w) ↔ Even(h(y))) ∧ Student(w)),It is not the case that w is an animal if and only if h(y) is even and w is a student
"((∀u (Even(u) → Member(2,b)) → Knows(w,z)) ∨ Greater(z,0))","If For every u, if u is even, then 2 is a member of b, then w knows z or z is greater than 0"
∀y (Dog(y) → Human(v)),"For every y, if y is a dog, then v is a human"
∃x (Student(x) ∧ Odd(v)),There exists x such that x is a student and v is odd
(∀w (Mortal(w) → (Animal(h(x)) ↔ 2 = h(z))) → (∀u Odd(h(x)) → Prime(a))),"If For every w, if w is mortal, then h(x) is an animal if and only if 2 equals h(z), then if For every u, h(x) is odd, then a is prime"
"(∃z ∀x Dog(h(1)) ∨ Knows(v,w))","There exists z, For every x, h(1) is a dog or v knows w"
"∀y Friend(y,1)","For every y, y is a friend of 1"
"Loves(y,c)",Y loves c
"((∀w (Animal(w) → v = 1) ↔ ¬u = v) ↔ ((x = x → ParentOf(b,f(g(u)))) ∧ ∀u (Human(u) → Less(w,1))))","For every w, if w is an animal, then v equals 1 if and only if It is not the case that u equals v if and only if if x equals x, then b is a parent of f(g(u)) and For every u, if u is a human, then w is less than 1"
∀y (Prime(y) → ¬∃x (Even(x) ∧ Cat(u))),"For every y, if y is prime, then It is not the case that There exists x such that x is even and u is a cat"
∀u ∃x (Mortal(x) ∧ ∃y (Dog(y) ∧ Mortal(f(x)))),"For every u, There exists x such that x is mortal and There exists y such that y is a dog and f(x) is mortal"
¬Odd(2),It is not the case that 2 is odd
"((∃z (Professor(z) ∧ Human(z)) ↔ ParentOf(z,u)) ∧ ¬¬Prime(v))",There exists z such that z is a professor and z is a human if and only if z is a parent of u and It is not the case that It is not the case that v is prime
"Member(f(w),y)",F(w) is a member of y
∀v (Student(v) → Cat(2)),"For every v, if v is a student, then 2 is a cat"
∃z Prime(g(x)),"There exists z, g(x) is prime"
"¬(¬Mortal(2) → ¬Greater(z,v))","It is not the case that if It is not the case that 2 is mortal, then It is not the case that z is greater than v"
(∀u (Professor(u) → ¬Student(w)) ∧ ¬(w = w → Student(v))),"For every u, if u is a professor, then It is not the case that w is a student and It is not the case that if w equals w, then v is a student"
Mortal(a),A is mortal
"¬∀u (Member(g(u),f(z)) → Member(b,c))","It is not the case that For every u, if g(u) is a member of f(z), then b is a member of c"
"(Friend(0,x) ∨ ∀w (g(z) = z ↔ Human(f(x))))","0 is a friend of x or For every w, g(z) equals z if and only if f(x) is a human"
"Greater(f(x),h(y))",F(x) is greater than h(y)
v = z,V equals z
∀v Cat(z),"For every v, z is a cat"
Dog(h(z)),H(z) is a dog
"Loves(z,c)",Z loves c
Animal(z),Z is an animal
(¬∃x (Student(x) ∧ Mortal(h(w))) ↔ (∃w g(x) = h(u) → ∃u (Animal(u) ∧ g(u) = w))),"It is not the case that There exists x such that x is a student and h(w) is mortal if and only if if There exists w, g(x) equals h(u), then There exists u such that u is an animal and g(u) equals w"
"¬Greater(h(v),w)",It is not the case that h(v) is greater than w
"(∃v (Mortal(v) ∧ (Equal(y,h(u)) ∧ Animal(w))) ∧ Student(f(v)))",There exists v such that v is mortal and y is equal to h(u) and w is an animal and f(v) is a student
"((¬Mortal(h(y)) → (Subset(w,g(w)) ∧ Equal(c,h(g(z))))) ∨ ∃x (ParentOf(v,z) ∨ Prime(2)))","If It is not the case that h(y) is mortal, then w is a subset of g(w) and c is equal to h(g(z)) or There exists x, v is a parent of z or 2 is prime"
"Equal(w,x)",W is equal to x
0 = b,0 equals b
Even(h(u)),H(u) is even
